scenario,model,n_features,recall,f2,f1,precision,accuracy,roc_auc,average_precision
A,logreg,46,0.07199931995919755,0.08732859057634808,0.12830417329394833,0.5886031966643502,0.8922751481228414,0.666210910828474,0.2656237937503482
B,logreg,41,0.00034002040122407346,0.0004249351973823992,0.0006794632240529981,0.4,0.8898696144594102,0.6328355836004584,0.19974038973718494
