origem,cenario,threshold,cv_fitness,recall,f2,precision,roc_auc,average_precision,brier
Baseline (Fase 1) thr=0.50,B,0.5,-1.2656,0.5256937307297019,0.3325801784814448,0.13468057795477734,0.5773426978882401,0.1506731107164817,0.2435567745332636
Baseline (Fase 1) thr=0.40,B,0.4,-1.2656,0.9743062692702981,0.3856990286324569,0.11289242173893628,0.5773426978882401,0.1506731107164817,0.2435567745332636
AG Coevo | Exp4_hotstart,B,0.5,-1.2611,0.5152877697841727,0.3298194257145676,0.1351870576339737,0.5775050045886387,0.15141830553359414,0.2403599292113693
AG Coevo | Cenário A,A,0.35,-1.2608,0.9813720452209661,0.3854810060150983,0.11242420674633544,0.5840323071287987,0.15592982185798648,0.23913788005028597
AG Coevo | Cenário B,B,0.4,-1.2621,0.9466855087358684,0.3855208638513372,0.11436153702899,0.5793433104148482,0.1532257170557188,0.24016513584209964
AG Coevo | Cenário C,C,0.45,-1.262,0.7906603288797533,0.380751170804437,0.12387162998520665,0.5885796289952825,0.15900862990673353,0.238886983754878
