origem,modelo,cv_fitness,recall,f2,precision,roc_auc,average_precision,brier
RF baseline (Fase 1),RF,0.0,0.9935765673175745,0.38442038710447046,0.11134946801618267,0.5642065523167518,0.13986937716508668,0.24500570523622742
HistGB baseline (Fase 1),HISTGB,0.0,0.9743062692702981,0.3856990286324569,0.11289242173893628,0.5773426978882401,0.1506731107164817,0.2435567745332636
Exp1_conservador,RF,-0.4577,1.0,0.3836334782308701,0.11070184171229468,0.5540366143346651,0.1360964762025684,0.2471617458134359
Exp2_padrao,RF,-0.4576,1.0,0.3836334782308701,0.11070184171229468,0.5540612008037025,0.13586027586515398,0.24717781578085685
Exp3_exploratorio,RF,-0.4582,0.9999357656731758,0.383610726413374,0.11069551799415484,0.5540356058420717,0.13597022811926188,0.24715338592046396
Exp4_hotstart,RF,-0.4582,0.9999357656731758,0.383610726413374,0.11069551799415484,0.5539629558538554,0.13601772990075925,0.24716248748864683
