origem,cv_fitness,recall,f2,precision,roc_auc,average_precision,brier
Baseline (Fase 1),-0.9968,0.9743062692702981,0.3856990286324569,0.11289242173893628,0.5773426978882401,0.1506731107164817,0.2435567745332636
Exp1_conservador,-0.996,0.9414182939362795,0.38640617996783466,0.11506363200992362,0.5790433995611763,0.15253953796216974,0.24044437997944731
Exp2_padrao,-0.9958,0.9294707091469682,0.3860190155047859,0.11561755916710613,0.5801872864584345,0.1546131322414342,0.23859300700468414
Exp3_exploratorio,-0.9954,0.944051901336074,0.3850971062036872,0.11432905484247374,0.5778036868636075,0.15294176212042937,0.24031085788620646
Exp4_hotstart,-0.9958,0.9494475847893115,0.3854096590997982,0.1141522184036761,0.5778094522465265,0.15205268841984848,0.24109234913307342
