threshold,recall,f2,f1,precision,accuracy,roc_auc,average_precision,brier,tp,tn,fp,fn,meets_min_recall
0.05,1.0,0.3622424378797133,0.1851352905419836,0.1020105187880763,0.1020105187880763,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,0,99200,0,True
0.06,1.0,0.3622424378797133,0.1851352905419836,0.1020105187880763,0.1020105187880763,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,0,99200,0,True
0.07,1.0,0.3622424378797133,0.1851352905419836,0.1020105187880763,0.1020105187880763,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,0,99200,0,True
0.08,1.0,0.3622424378797133,0.1851352905419836,0.1020105187880763,0.1020105187880763,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,0,99200,0,True
0.09,1.0,0.3622424378797133,0.1851352905419836,0.1020105187880763,0.1020105187880763,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,0,99200,0,True
0.09999999999999999,1.0,0.3622424378797133,0.1851352905419836,0.1020105187880763,0.1020105187880763,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,0,99200,0,True
0.10999999999999999,1.0,0.3622424378797133,0.1851352905419836,0.1020105187880763,0.1020105187880763,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,0,99200,0,True
0.12,1.0,0.3622424378797133,0.1851352905419836,0.1020105187880763,0.1020105187880763,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,0,99200,0,True
0.13,1.0,0.3622424378797133,0.1851352905419836,0.1020105187880763,0.1020105187880763,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,0,99200,0,True
0.13999999999999999,1.0,0.3622424378797133,0.1851352905419836,0.1020105187880763,0.1020105187880763,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,0,99200,0,True
0.14999999999999997,1.0,0.3622424378797133,0.1851352905419836,0.1020105187880763,0.1020105187880763,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,0,99200,0,True
0.15999999999999998,1.0,0.36224709565843527,0.18513833212854044,0.10201236568386939,0.10202862341471362,0.6524730459703898,0.20383803148354168,0.22663342224390717,11269,2,99198,0,True
0.16999999999999998,0.9999112609814536,0.36223823883034467,0.18513711121699555,0.10201254786930661,0.10210104192126297,0.6524730459703898,0.20383803148354168,0.22663342224390717,11268,11,99189,1,True
0.18,0.9999112609814536,0.36225454264881757,0.1851477583614719,0.10201901312811226,0.10216440811449366,0.6524730459703898,0.20383803148354168,0.22663342224390717,11268,18,99182,1,True
0.19,0.9999112609814536,0.3623057927770347,0.18518122878953466,0.10203933784909625,0.10236355900750436,0.6524730459703898,0.20383803148354168,0.22663342224390717,11268,40,99160,1,True
0.19999999999999996,0.9999112609814536,0.3623640491641958,0.18521927805904398,0.1020624439553273,0.10258986684047108,0.6524730459703898,0.20383803148354168,0.22663342224390717,11268,65,99135,1,True
0.20999999999999996,0.9997337829443607,0.36240695347834756,0.18525644187920345,0.10208686354286543,0.10297006399985516,0.6524730459703898,0.20383803148354168,0.22663342224390717,11266,109,99091,3,True
0.21999999999999997,0.9989351317774425,0.36225028318401814,0.18519523891781622,0.10205802357207616,0.10332310421928324,0.6524730459703898,0.20383803148354168,0.22663342224390717,11257,157,99043,12,True
0.22999999999999998,0.9987576537403496,0.36232583893481674,0.18525376721065928,0.10209542815674891,0.10383003376512868,0.6524730459703898,0.20383803148354168,0.22663342224390717,11255,215,98985,14,True
0.24,0.9987576537403496,0.36253357985402024,0.18538955690989953,0.10217791940154879,0.10463568965049018,0.6524730459703898,0.20383803148354168,0.22663342224390717,11255,304,98896,14,True
0.24999999999999994,0.9985801757032567,0.36270047960394,0.18550786755796606,0.10225166285028896,0.10549565941576369,0.6524730459703898,0.20383803148354168,0.22663342224390717,11253,401,98799,16,True
0.25999999999999995,0.998047741591978,0.3627666643013347,0.1855787476280835,0.10230032471962235,0.1063918384343119,0.6524730459703898,0.20383803148354168,0.22663342224390717,11247,506,98694,22,True
0.26999999999999996,0.9975153074806993,0.3630579419934113,0.18579704635422262,0.10243862430969435,0.10815703953145227,0.6524730459703898,0.20383803148354168,0.22663342224390717,11241,707,98493,28,True
