origem,cv_fitness,recall,f2,precision,roc_auc,average_precision,brier
Baseline (sample_weight),0.0,0.9743062692702981,0.3856990286324569,0.11289242173893628,0.5773426978882401,0.1506731107164817,0.2435567745332636
Exp1_SMOTE_k5_padrao,-0.9758,0.05350719424460432,0.06268247900550823,0.19956875898418783,0.5621648466060731,0.14148932569146444,0.10960710507994992
Exp2_SMOTE_k5_hotstart,-0.9705,0.06147225077081192,0.07127535972830458,0.19683257918552036,0.5599456418331821,0.1414931147267342,0.11008278894593423
Exp3_SMOTE_k10_padrao,-0.9753,0.05414953751284687,0.06341588180423073,0.2010014306151645,0.5632084623231399,0.14273344772626675,0.10872359806900449
Exp4_BorderlineSMOTE_padrao,-0.9758,0.049524665981500515,0.058490623293075195,0.21204620462046206,0.5632328826361529,0.1434301429395982,0.10764511692776067
